"collision_id","borough","crash_date","crash_time","vehicle_1","vehicle_2","vehicle_3","contributing_vehicle_1","contributing_vehicle_2","contributing_vehicle_3"
"4486660","BRONX","2021-12-14","08:17:00","Sedan","Sedan","No additional car involved","Unspecified","No additional car involved","No additional car involved"
"4486635","QUEENS","2021-12-14","23:10:00","Sedan","Sedan","No additional car involved","Reaction to Uninvolved Vehicle","No additional car involved","No additional car involved"
"4486991","BROOKLYN","2021-12-14","20:03:00","Sedan","No additional car involved","No additional car involved","Steering Failure","No additional car involved","No additional car involved"
"4487040","BRONX","2021-12-11","19:43:00","Station Wagon/Sport Utility Vehicle","Sedan","No additional car involved","Unspecified","No additional car involved","No additional car involved"
"4487001","STATEN ISLAND","2021-12-13","17:40:00","Sedan","Sedan","No additional car involved","Unspecified","No additional car involved","No additional car involved"
"4486516","BROOKLYN","2021-12-14","17:31:00","Sedan","No additional car involved","No additional car involved","Unspecified","No additional car involved","No additional car involved"
"4487052","BROOKLYN","2021-12-14","12:54:00","Sedan","Bike","No additional car involved","Unspecified","No additional car involved","No additional car involved"
"4486556","BROOKLYN","2021-12-14","17:15:00","Bus","Station Wagon/Sport Utility Vehicle","No additional car involved","Passing or Lane Usage Improper","No additional car involved","No additional car involved"
"4521853","MANHATTAN","2022-04-24","15:35:00","Station Wagon/Sport Utility Vehicle","Bike","No additional car involved","View Obstructed/Limited","No additional car involved","No additional car involved"
"4522228","BROOKLYN","2022-04-22","12:00:00","Sedan","Pick-up Truck","No additional car involved","Unspecified","No additional car involved","No additional car involved"
"4522167","BROOKLYN","2022-04-24","04:20:00","Station Wagon/Sport Utility Vehicle","Station Wagon/Sport Utility Vehicle","No additional car involved","Traffic Control Disregarded","No additional car involved","No additional car involved"
"4522136","BROOKLYN","2022-04-12","19:56:00","Station Wagon/Sport Utility Vehicle","No additional car involved","No additional car involved","Failure to Yield Right-of-Way","No additional car involved","No additional car involved"
"4521590","QUEENS","2022-04-24","15:21:00","Sedan","Sedan","No additional car involved","Driver Inattention/Distraction","Driver Inattention/Distraction","No additional car involved"
"4521684","QUEENS","2022-04-24","21:00:00","Sedan","Sedan","No additional car involved","Driver Inattention/Distraction","No additional car involved","No additional car involved"
"4485150","BROOKLYN","2021-12-09","20:20:00","Bike","No additional car involved","No additional car involved","Driver Inattention/Distraction","No additional car involved","No additional car involved"
"4485026","QUEENS","2021-12-09","02:45:00","Sedan","No additional car involved","No additional car involved","Alcohol Involvement","No additional car involved","No additional car involved"
"4485355","BROOKLYN","2021-12-09","23:15:00","Sedan","Bike","No additional car involved","Driver Inattention/Distraction","Driver Inattention/Distraction","No additional car involved"
"4484852","MANHATTAN","2021-12-08","19:30:00","Station Wagon/Sport Utility Vehicle","Bike","No additional car involved","Following Too Closely","Reaction to Uninvolved Vehicle","No additional car involved"
"4485542","MANHATTAN","2021-12-08","12:00:00","Box Truck","Bike","No additional car involved","Passing or Lane Usage Improper","No additional car involved","No additional car involved"
"4485090","BROOKLYN","2021-12-09","10:13:00","Sedan","Sedan","No additional car involved","Traffic Control Disregarded","Traffic Control Disregarded","No additional car involved"
"4513935","MANHATTAN","2022-03-26","01:02:00","Sedan","Moped","No additional car involved","Traffic Control Disregarded","No additional car involved","No additional car involved"
"4513794","QUEENS","2022-03-26","16:02:00","Station Wagon/Sport Utility Vehicle","Sedan","No additional car involved","Lost Consciousness","No additional car involved","No additional car involved"
"4514267","QUEENS","2022-03-26","16:05:00","Station Wagon/Sport Utility Vehicle","Bus","No additional car involved","Following Too Closely","No additional car involved","No additional car involved"
"4514237","MANHATTAN","2022-03-21","12:05:00","Motorcycle","Sedan","No additional car involved","Following Too Closely","No additional car involved","No additional car involved"
"4514075","BRONX","2022-03-26","12:18:00","Station Wagon/Sport Utility Vehicle","Station Wagon/Sport Utility Vehicle","No additional car involved","Failure to Yield Right-of-Way","No additional car involved","No additional car involved"
"4514202","BRONX","2022-03-26","15:45:00","Station Wagon/Sport Utility Vehicle","No additional car involved","No additional car involved","Alcohol Involvement","No additional car involved","No additional car involved"
"4513874","BROOKLYN","2022-03-26","14:05:00","Station Wagon/Sport Utility Vehicle","Motorcycle","No additional car involved","Unsafe Speed","No additional car involved","No additional car involved"
"4514323","BROOKLYN","2022-03-10","08:30:00","Station Wagon/Sport Utility Vehicle","Station Wagon/Sport Utility Vehicle","Sedan","Other Vehicular","Following Too Closely","No additional car involved"
"4514182","BRONX","2022-03-24","23:00:00","Sedan","No additional car involved","No additional car involved","Unspecified","No additional car involved","No additional car involved"
"4513663","BROOKLYN","2022-03-26","11:50:00","Station Wagon/Sport Utility Vehicle","No additional car involved","No additional car involved","Failure to Yield Right-of-Way","No additional car involved","No additional car involved"
"4513565","MANHATTAN","2022-03-26","13:48:00","nan","No additional car involved","No additional car involved","nan","No additional car involved","No additional car involved"
"4513637","QUEENS","2022-03-26","23:45:00","Sedan","Sedan","No additional car involved","Driver Inattention/Distraction","No additional car involved","No additional car involved"
"4513833","BROOKLYN","2022-03-26","16:00:00","Sedan","Sedan","Station Wagon/Sport Utility Vehicle","Driver Inattention/Distraction","No additional car involved","No additional car involved"
"4513887","MANHATTAN","2022-03-26","23:17:00","Station Wagon/Sport Utility Vehicle","Sedan","No additional car involved","Following Too Closely","No additional car involved","No additional car involved"
