collision_id,persons_injured,persons_killed,pedestrians_injured,pedestrians_killed,cyclist_injured,cyclist_killed,motorist_injured,motorist_killed
4456314,0,0,0,0,0,0,0,0
4486609,0,0,0,0,0,0,0,0
4486660,2,0,0,0,0,0,2,0
4487074,0,0,0,0,0,0,0,0
4486519,0,0,0,0,0,0,0,0
4487127,0,0,0,0,0,0,0,0
4486635,2,0,0,0,0,0,2,0
4486604,0,0,0,0,0,0,0,0
4486991,4,0,0,0,0,0,4,0
4487040,1,0,0,0,0,0,1,0
4486905,0,0,0,0,0,0,0,0
4486967,0,0,0,0,0,0,0,0
4487001,1,0,0,0,0,0,1,0
4486516,1,0,1,0,0,0,0,0
4486605,0,0,0,0,0,0,0,0
4487052,1,0,0,0,1,0,0,0
4486556,1,0,0,0,0,0,1,0
4486875,0,0,0,0,0,0,0,0
4486933,0,0,0,0,0,0,0,0
4545699,0,0,0,0,0,0,0,0
4522015,0,0,0,0,0,0,0,0
4521460,0,0,0,0,0,0,0,0
4522156,0,0,0,0,0,0,0,0
4521633,0,0,0,0,0,0,0,0
4521801,0,0,0,0,0,0,0,0
4522285,0,0,0,0,0,0,0,0
4521853,1,0,0,0,1,0,0,0
4522228,1,0,0,0,0,0,1,0
4522167,1,0,0,0,0,0,1,0
4522136,1,0,1,0,0,0,0,0
4521859,0,0,0,0,0,0,0,0
4521590,1,0,0,0,0,0,1,0
4521684,1,0,0,0,0,0,1,0
4521858,0,0,0,0,0,0,0,0
4522242,0,0,0,0,0,0,0,0
4485150,1,0,0,0,1,0,0,0
4485026,1,0,0,0,0,0,1,0
4485333,0,0,0,0,0,0,0,0
4485234,0,0,0,0,0,0,0,0
4485355,1,0,0,0,1,0,0,0
4485581,0,0,0,0,0,0,0,0
4485866,0,0,0,0,0,0,0,0
4485437,0,0,0,0,0,0,0,0
4485408,0,0,0,0,0,0,0,0
4484852,1,0,0,0,1,0,0,0
4485542,1,0,0,0,1,0,0,0
4484906,0,0,0,0,0,0,0,0
4485565,0,0,0,0,0,0,0,0
4485340,0,0,0,0,0,0,0,0
4485077,0,0,0,0,0,0,0,0
4485090,2,0,0,0,0,0,2,0
4513697,0,0,0,0,0,0,0,0
4513935,1,0,0,0,0,0,1,0
4513794,1,0,0,0,0,0,1,0
4514267,1,0,0,0,0,0,1,0
4514237,1,0,0,0,0,0,1,0
4513470,0,0,0,0,0,0,0,0
4513751,0,0,0,0,0,0,0,0
4514075,2,0,0,0,0,0,2,0
4513857,0,0,0,0,0,0,0,0
4514202,2,0,0,0,0,0,2,0
4514347,0,0,0,0,0,0,0,0
4513495,0,0,0,0,0,0,0,0
4513874,1,0,0,0,0,0,1,0
4514323,4,0,0,0,0,0,4,0
4514182,1,0,1,0,0,0,0,0
4513515,0,0,0,0,0,0,0,0
4513663,2,0,2,0,0,0,0,0
4513953,0,0,0,0,0,0,0,0
4513985,0,0,0,0,0,0,0,0
4514084,0,0,0,0,0,0,0,0
4514144,0,0,0,0,0,0,0,0
4513564,0,0,0,0,0,0,0,0
4513587,0,0,0,0,0,0,0,0
4513565,1,0,1,0,0,0,0,0
4513637,1,0,0,0,0,0,1,0
4513833,1,0,0,0,0,0,1,0
4513887,1,0,0,0,0,0,1,0
4513774,0,0,0,0,0,0,0,0
4514376,2,0,0,0,0,0,2,0
4513982,1,0,1,0,0,0,0,0
4513664,1,0,0,0,0,0,1,0
4513725,1,0,0,0,0,0,1,0
4514298,0,0,0,0,0,0,0,0
4513573,0,0,0,0,0,0,0,0
4514201,0,0,0,0,0,0,0,0
4514125,0,0,0,0,0,0,0,0
4514278,0,0,0,0,0,0,0,0
4513803,4,0,0,0,0,0,4,0
4513878,0,0,0,0,0,0,0,0
4513735,1,0,0,0,1,0,0,0
