collision_id,vehicle_1,vehicle_2,vehicle_3,contributing_vehicle_1,contributing_vehicle_2,contributing_vehicle_3
4486660,Sedan,Sedan,nan,Unspecified,Unspecified,nan
4486635,Sedan,Sedan,nan,Reaction to Uninvolved Vehicle,Unspecified,nan
4486991,Sedan,nan,nan,Steering Failure,nan,nan
4487040,Station Wagon/Sport Utility Vehicle,Sedan,nan,Unspecified,Unspecified,nan
4487001,Sedan,Sedan,nan,Unspecified,Unspecified,nan
4486516,Sedan,nan,nan,Unspecified,nan,nan
4487052,Sedan,Bike,nan,Unspecified,Unspecified,nan
4486556,Bus,Station Wagon/Sport Utility Vehicle,nan,Passing or Lane Usage Improper,Unspecified,nan
4521853,Station Wagon/Sport Utility Vehicle,Bike,nan,View Obstructed/Limited,Unspecified,nan
4522228,Sedan,Pick-up Truck,nan,Unspecified,Unspecified,nan
4522167,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,nan,Traffic Control Disregarded,Unspecified,nan
4522136,Station Wagon/Sport Utility Vehicle,nan,nan,Failure to Yield Right-of-Way,nan,nan
4521590,Sedan,Sedan,nan,Driver Inattention/Distraction,Driver Inattention/Distraction,nan
4521684,Sedan,Sedan,nan,Driver Inattention/Distraction,Unspecified,nan
4485150,Bike,nan,nan,Driver Inattention/Distraction,Unspecified,nan
4485026,Sedan,nan,nan,Alcohol Involvement,nan,nan
4485355,Sedan,Bike,nan,Driver Inattention/Distraction,Driver Inattention/Distraction,nan
4484852,Station Wagon/Sport Utility Vehicle,Bike,nan,Following Too Closely,Reaction to Uninvolved Vehicle,nan
4485542,Box Truck,Bike,nan,Passing or Lane Usage Improper,Unspecified,nan
4485090,Sedan,Sedan,nan,Traffic Control Disregarded,Traffic Control Disregarded,nan
4513935,Sedan,Moped,nan,Traffic Control Disregarded,Unspecified,nan
4513794,Station Wagon/Sport Utility Vehicle,Sedan,nan,Lost Consciousness,Unspecified,nan
4514267,Station Wagon/Sport Utility Vehicle,Bus,nan,Following Too Closely,Unspecified,nan
4514237,Motorcycle,Sedan,nan,Following Too Closely,Unspecified,nan
4514075,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,nan,Failure to Yield Right-of-Way,Unspecified,nan
4514202,Station Wagon/Sport Utility Vehicle,nan,nan,Alcohol Involvement,Unspecified,nan
4513874,Station Wagon/Sport Utility Vehicle,Motorcycle,nan,Unsafe Speed,Unspecified,nan
4514323,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,Sedan,Other Vehicular,Following Too Closely,Unspecified
4514182,Sedan,nan,nan,Unspecified,nan,nan
4513663,Station Wagon/Sport Utility Vehicle,nan,nan,Failure to Yield Right-of-Way,nan,nan
4513565,nan,nan,nan,nan,nan,nan
4513637,Sedan,Sedan,nan,Driver Inattention/Distraction,Unspecified,nan
4513833,Sedan,Sedan,Station Wagon/Sport Utility Vehicle,Driver Inattention/Distraction,Unspecified,Unspecified
4513887,Station Wagon/Sport Utility Vehicle,Sedan,nan,Following Too Closely,Unspecified,nan
4514376,Sedan,Sedan,Sedan,Unspecified,Unspecified,Unspecified
4513982,Sedan,nan,nan,Unspecified,nan,nan
4513664,Sedan,nan,nan,Unspecified,nan,nan
4513725,Station Wagon/Sport Utility Vehicle,nan,nan,Unspecified,nan,nan
4513803,Sedan,Station Wagon/Sport Utility Vehicle,nan,Passing Too Closely,Unspecified,nan
4513735,E-Bike,BOX VAN,nan,Passenger Distraction,Unspecified,nan
4514367,Sedan,Sedan,nan,Unspecified,Unspecified,nan
4513860,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,nan,Passing or Lane Usage Improper,Unspecified,nan
4514302,Sedan,nan,nan,Backing Unsafely,nan,nan
4514326,Station Wagon/Sport Utility Vehicle,Sedan,nan,Driver Inattention/Distraction,Unspecified,nan
4513739,Bike,nan,nan,Failure to Yield Right-of-Way,Unspecified,nan
4513701,Station Wagon/Sport Utility Vehicle,4 dr sedan,nan,Traffic Control Disregarded,Unspecified,nan
4514046,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,nan,Following Too Closely,Unspecified,nan
4513772,Bike,nan,nan,Unsafe Speed,nan,nan
4514221,Sedan,Sedan,nan,Driver Inattention/Distraction,Driver Inattention/Distraction,nan
4514277,Sedan,Bike,nan,Turning Improperly,Unspecified,nan
4513994,Box Truck,Sedan,nan,Following Too Closely,Unspecified,nan
4485893,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,nan,Other Vehicular,Other Vehicular,nan
4485153,Taxi,Bike,nan,Following Too Closely,Unspecified,nan
4456087,Sedan,nan,nan,Unspecified,nan,nan
4456608,Sedan,Sedan,nan,Lost Consciousness,Unspecified,nan
4456735,Sedan,Station Wagon/Sport Utility Vehicle,nan,Passing or Lane Usage Improper,Unspecified,nan
4455941,Sedan,nan,nan,Unspecified,nan,nan
4456778,Sedan,Sedan,nan,Failure to Yield Right-of-Way,Unsafe Speed,nan
4455894,Station Wagon/Sport Utility Vehicle,Refrigerated Van,nan,Unspecified,Unspecified,nan
4455969,Station Wagon/Sport Utility Vehicle,Sedan,nan,Following Too Closely,Unspecified,nan
4455841,Station Wagon/Sport Utility Vehicle,Bike,nan,Passing or Lane Usage Improper,Other Vehicular,nan
4456683,Sedan,nan,nan,Driver Inattention/Distraction,nan,nan
4456865,Flat Bed,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,Driver Inattention/Distraction,Driver Inattention/Distraction,Unspecified
4456655,Sedan,nan,nan,View Obstructed/Limited,nan,nan
4456058,Station Wagon/Sport Utility Vehicle,Bus,nan,Unspecified,Unspecified,nan
4456600,Sedan,Sedan,nan,Unspecified,Unspecified,nan
4456592,Sedan,nan,nan,Driver Inattention/Distraction,nan,nan
4456140,Station Wagon/Sport Utility Vehicle,nan,nan,Unsafe Speed,nan,nan
4456577,Sedan,E-Bike,nan,Alcohol Involvement,Unspecified,nan
4456200,Sedan,Sedan,nan,Failure to Yield Right-of-Way,Unspecified,nan
4456692,Station Wagon/Sport Utility Vehicle,Sedan,nan,Failure to Yield Right-of-Way,Unspecified,nan
4456921,Sedan,Sedan,nan,Driver Inattention/Distraction,Driver Inattention/Distraction,nan
4456768,E-Bike,Sedan,nan,Driver Inattention/Distraction,Unspecified,nan
4455757,Sedan,Station Wagon/Sport Utility Vehicle,nan,Unspecified,Unspecified,nan
4457032,Sedan,nan,nan,Driver Inattention/Distraction,Unspecified,nan
4456572,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,nan,Following Too Closely,Unspecified,nan
4455822,Station Wagon/Sport Utility Vehicle,Taxi,nan,Unspecified,Unspecified,nan
4456721,Sedan,nan,nan,Driver Inattention/Distraction,nan,nan
4456819,Motorcycle,nan,nan,Unspecified,nan,nan
4456609,Station Wagon/Sport Utility Vehicle,E-Bike,nan,Driver Inattention/Distraction,Unspecified,nan
4456078,Station Wagon/Sport Utility Vehicle,Sedan,nan,Failure to Yield Right-of-Way,Unspecified,nan
4456688,Sedan,nan,nan,Tinted Windows,nan,nan
4456395,nan,nan,nan,Driver Inattention/Distraction,nan,nan
4456791,Taxi,Sedan,Sedan,Unspecified,Unspecified,Unspecified
4456614,Motorcycle,nan,nan,Driver Inattention/Distraction,Unspecified,nan
4456953,Sedan,E-Scooter,nan,Unspecified,Unspecified,nan
4456563,Station Wagon/Sport Utility Vehicle,nan,nan,Unspecified,nan,nan
4456656,Sedan,Station Wagon/Sport Utility Vehicle,Sedan,Unsafe Speed,Unspecified,Unspecified
4457006,Station Wagon/Sport Utility Vehicle,E-Bike,nan,Unsafe Lane Changing,Driver Inattention/Distraction,nan
4456595,Pick-up Truck,Bike,nan,Pedestrian/Bicyclist/Other Pedestrian Error/Confusion,Unspecified,nan
4456903,Sedan,nan,nan,Failure to Yield Right-of-Way,nan,nan
4456982,Sedan,E-Bike,nan,Driver Inattention/Distraction,Driver Inattention/Distraction,nan
4456235,Sedan,Bike,nan,Driver Inattention/Distraction,Unspecified,nan
4455935,Sedan,Chassis Cab,nan,Driver Inexperience,Unspecified,nan
4456710,E-Bike,E-Bike,nan,Driver Inattention/Distraction,Unspecified,nan
4457021,Sedan,Sedan,nan,Unspecified,Unspecified,nan
4456134,Sedan,Station Wagon/Sport Utility Vehicle,nan,Following Too Closely,Unspecified,nan
4403773,Sedan,Sedan,nan,Driver Inexperience,Unspecified,nan
4405244,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,nan,Failure to Yield Right-of-Way,Unsafe Speed,nan
4408143,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,nan,Unsafe Speed,Unspecified,nan
4407638,Sedan,Van,nan,Following Too Closely,Unspecified,nan
4408038,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,Unspecified,Unspecified,Unspecified
4407821,Sedan,Sedan,nan,Passing Too Closely,Unspecified,nan
4408259,Sedan,nan,nan,Failure to Yield Right-of-Way,nan,nan
4408396,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,nan,Drugs (illegal),Unspecified,nan
4407792,Station Wagon/Sport Utility Vehicle,Bike,nan,Turning Improperly,Unspecified,nan
4407853,Sedan,Station Wagon/Sport Utility Vehicle,nan,Traffic Control Disregarded,Unspecified,nan
4408242,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,nan,Unspecified,Unspecified,nan
4407798,Station Wagon/Sport Utility Vehicle,Sedan,nan,Following Too Closely,Unspecified,nan
4407797,nan,nan,nan,Driver Inattention/Distraction,nan,nan
4407349,Station Wagon/Sport Utility Vehicle,Sedan,Sedan,Failure to Yield Right-of-Way,Unspecified,Unspecified
4408032,Sedan,nan,nan,Driver Inattention/Distraction,nan,nan
4407478,Sedan,Sedan,nan,Driver Inattention/Distraction,Driver Inattention/Distraction,nan
4407924,Sedan,nan,nan,Failure to Yield Right-of-Way,nan,nan
4407539,Station Wagon/Sport Utility Vehicle,PK,nan,Driver Inattention/Distraction,Unspecified,nan
4407830,Sedan,nan,nan,Failure to Yield Right-of-Way,nan,nan
4408290,nan,nan,nan,Failure to Yield Right-of-Way,nan,nan
4407277,Taxi,nan,nan,Driver Inattention/Distraction,nan,nan
4407829,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,nan,Failure to Yield Right-of-Way,Turning Improperly,nan
4456397,Motorcycle,nan,nan,Unspecified,nan,nan
4407441,Station Wagon/Sport Utility Vehicle,E-Scooter,nan,Driver Inattention/Distraction,Driver Inattention/Distraction,nan
4407856,Station Wagon/Sport Utility Vehicle,Sedan,nan,Driver Inattention/Distraction,Unspecified,nan
4407729,Van,Sedan,Sedan,Unspecified,Unspecified,Unspecified
4407789,Station Wagon/Sport Utility Vehicle,Bike,nan,Pedestrian/Bicyclist/Other Pedestrian Error/Confusion,Unspecified,nan
4407576,Station Wagon/Sport Utility Vehicle,nan,nan,Failure to Yield Right-of-Way,nan,nan
4407414,Sedan,Bike,nan,Driver Inattention/Distraction,Driver Inattention/Distraction,nan
4407623,Station Wagon/Sport Utility Vehicle,Motorcycle,nan,Passing or Lane Usage Improper,Unspecified,nan
4408063,Station Wagon/Sport Utility Vehicle,nan,nan,Driver Inattention/Distraction,nan,nan
4407766,Station Wagon/Sport Utility Vehicle,nan,nan,Unspecified,nan,nan
4408155,Sedan,Sedan,nan,Unspecified,Unspecified,nan
4407866,Station Wagon/Sport Utility Vehicle,Sedan,nan,Driver Inexperience,Unspecified,nan
4407453,Sedan,Sedan,nan,Driver Inattention/Distraction,Unspecified,nan
4407632,Sedan,Sedan,nan,Unspecified,Unspecified,nan
4407096,Sedan,Station Wagon/Sport Utility Vehicle,nan,Traffic Control Disregarded,Unspecified,nan
4407976,Station Wagon/Sport Utility Vehicle,Bus,nan,Backing Unsafely,Unspecified,nan
4407714,Sedan,Bike,nan,Unsafe Speed,Unspecified,Unspecified
4407637,Sedan,nan,nan,Unspecified,nan,nan
4407354,Station Wagon/Sport Utility Vehicle,nan,nan,Failure to Yield Right-of-Way,nan,nan
4408027,Sedan,Station Wagon/Sport Utility Vehicle,nan,Driver Inattention/Distraction,Unspecified,nan
4407408,Sedan,nan,nan,Driver Inattention/Distraction,nan,nan
4407762,Sedan,Sedan,nan,Failure to Yield Right-of-Way,Unspecified,nan
4407805,Station Wagon/Sport Utility Vehicle,nan,nan,Turning Improperly,nan,nan
4407837,Station Wagon/Sport Utility Vehicle,Sedan,nan,Passing Too Closely,Unspecified,nan
4407548,Taxi,Sedan,Sedan,Failure to Yield Right-of-Way,Unsafe Speed,Unspecified
4456635,Sedan,Bike,nan,View Obstructed/Limited,View Obstructed/Limited,nan
4407842,Sedan,Sedan,nan,Following Too Closely,Unspecified,nan
